RUN,EXP,TRTNUM,ROTNUM,REPNO,YEAR,DOY,DAS,PRED,CPRED,DAYLD,TWLD,SRAD,PARD,CLDD,TMXD,TMND,TAVD,TDYD,TDWD,TGAD,TGRD,WDSD,CO2D,VPDF,VPD
1,TEST01MZ,1,0,1,2001,172,59,6.19999981,458.200073,13.9818468,15.0511589,20.8999996,41.7999992,0.363786161,31.6000004,22.8999996,27.3135662,28.9232788,22.8999996,27.3135662,28.9232788,86.4000015,370.850006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,173,60,6.00000000,464.200073,13.9818468,15.0519400,22.2999992,44.5999985,0.321168959,32.0000000,22.7999992,27.4672165,29.1694431,22.7999992,27.4672165,29.1694431,86.4000015,370.850006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,174,61,7.00000000,471.200073,13.9811735,15.0519600,22.7000008,45.4000015,0.308953941,32.5000000,22.7000008,27.6715069,29.4846935,22.7000008,27.6715069,29.4846935,86.4000015,370.850006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,175,62,0.100000001,471.300079,13.9798269,15.0512161,22.8999996,45.7999992,0.302787364,33.2000008,22.7999992,28.0756931,29.9997749,22.7999992,28.0756931,29.9997749,86.4000015,370.850006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,176,63,0.00000000,471.300079,13.9778080,15.0497093,22.7000008,45.4000015,0.308760285,33.0000000,22.8999996,28.0232182,29.8916321,22.8999996,28.0232182,29.8916321,86.4000015,370.850006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,177,64,0.00000000,471.300079,13.9751186,15.0474424,26.3999996,52.7999992,0.195911050,33.9000015,22.1000004,28.0850906,30.2677383,22.1000004,28.0850906,30.2677383,86.4000015,370.850006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,178,65,0.00000000,471.300079,13.9717607,15.0444155,26.0000000,52.0000000,0.207872093,34.0000000,22.7999992,28.4802265,30.5515862,22.7999992,28.4802265,30.5515862,86.4000015,370.850006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,179,66,0.00000000,471.300079,13.9677362,15.0406322,24.2000008,48.4000015,0.262463391,34.7000008,23.2999992,29.0810089,31.1889858,23.2999992,29.0810089,31.1889858,86.4000015,370.850006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,180,67,0.00000000,471.300079,13.9630470,15.0360937,22.7000008,45.4000015,0.307906270,34.5999985,23.2999992,29.0295467,31.1185951,23.2999992,29.0295467,31.1185951,86.4000015,370.850006,0.00000000,0.00000000
1,TEST01MZ,1,0,1,2001,181,68,0.00000000,471.300079,13.9576979,15.0308056,24.8999996,49.7999992,0.240489542,37.0999985,23.8999996,30.5919189,33.0316505,23.8999996,30.5919189,33.0316505,86.4000015,370.850006,0.00000000,0.00000000
